분기,구분,시도별,계약금액(억원)
2016/04,전국,전국,646605.3
2016/04,수도권,서울,110872.4
2016/04,수도권,인천,39346.8
2016/04,수도권,경기,173617.2
2016/04,지방,부산,28852.8
2016/04,지방,대구,18671.1
2016/04,지방,광주,13443.2
2016/04,지방,대전,9757.3
2016/04,지방,울산,15317.4
2016/04,지방,세종,13973.9
2016/04,지방,강원,18172.7
2016/04,지방,충북,18461.9
2016/04,지방,충남,29318.2
2016/04,지방,전북,18048.4
2016/04,지방,전남,21959.5
2016/04,지방,경북,26130
2016/04,지방,경남,76561.5
2016/04,지방,제주,14100.9
2017/01,전국,전국,519033.3
2017/01,수도권,서울,51438.6
2017/01,수도권,인천,24368.5
2017/01,수도권,경기,145407.5
2017/01,지방,부산,21173.6
2017/01,지방,대구,15794.9
2017/01,지방,광주,10546.8
2017/01,지방,대전,6736.7
2017/01,지방,울산,16399.2
2017/01,지방,세종,7165.3
2017/01,지방,강원,18018.6
2017/01,지방,충북,38036.2
2017/01,지방,충남,36464
2017/01,지방,전북,16292.3
2017/01,지방,전남,24863.9
2017/01,지방,경북,38555.8
2017/01,지방,경남,34165.3
2017/01,지방,제주,13605.9
2017/02,전국,전국,519893.6
2017/02,수도권,서울,54719
2017/02,수도권,인천,41231.1
2017/02,수도권,경기,158672.8
2017/02,지방,부산,44123.9
2017/02,지방,대구,12732.6
2017/02,지방,광주,11179.8
2017/02,지방,대전,9215.1
2017/02,지방,울산,11813.3
2017/02,지방,세종,2730
2017/02,지방,강원,22077.8
2017/02,지방,충북,20726.2
2017/02,지방,충남,27196.3
2017/02,지방,전북,18587.5
2017/02,지방,전남,19657.2
2017/02,지방,경북,20444.8
2017/02,지방,경남,31834.1
2017/02,지방,제주,12952.1
2017/03,전국,전국,474551.8
2017/03,수도권,서울,53300.5
2017/03,수도권,인천,22266.5
2017/03,수도권,경기,178525.4
2017/03,지방,부산,20179.9
2017/03,지방,대구,13168.8
2017/03,지방,광주,8538.5
2017/03,지방,대전,11639.3
2017/03,지방,울산,8685.3
2017/03,지방,세종,9896.6
2017/03,지방,강원,16381
2017/03,지방,충북,14398.1
2017/03,지방,충남,27363.2
2017/03,지방,전북,16460
2017/03,지방,전남,20427.8
2017/03,지방,경북,19058.4
2017/03,지방,경남,26665.6
2017/03,지방,제주,7596.8
2017/04,전국,전국,585797.1
2017/04,수도권,서울,64609.9
2017/04,수도권,인천,29652.6
2017/04,수도권,경기,180467.5
2017/04,지방,부산,33496.8
2017/04,지방,대구,15823.6
2017/04,지방,광주,18064.1
2017/04,지방,대전,8754.6
2017/04,지방,울산,14467.4
2017/04,지방,세종,13847.5
2017/04,지방,강원,24454.2
2017/04,지방,충북,19433.1
2017/04,지방,충남,38335.3
2017/04,지방,전북,20194.1
2017/04,지방,전남,30348.3
2017/04,지방,경북,35828.2
2017/04,지방,경남,26488.8
2017/04,지방,제주,11531.1
2018/01,전국,전국,600958
2018/01,수도권,서울,62664
2018/01,수도권,인천,23494.4
2018/01,수도권,경기,161063.3
2018/01,지방,부산,24659.4
2018/01,지방,대구,12043.8
2018/01,지방,광주,7103
2018/01,지방,대전,9998.4
2018/01,지방,울산,17824.7
2018/01,지방,세종,9537.9
2018/01,지방,강원,74873.1
2018/01,지방,충북,23306.1
2018/01,지방,충남,31127.1
2018/01,지방,전북,24327.8
2018/01,지방,전남,37462.7
2018/01,지방,경북,39507.8
2018/01,지방,경남,30413.1
2018/01,지방,제주,11551.4
2018/02,전국,전국,540270.2
2018/02,수도권,서울,60357.6
2018/02,수도권,인천,42808.3
2018/02,수도권,경기,170940.9
2018/02,지방,부산,28280
2018/02,지방,대구,17003.3
2018/02,지방,광주,11513.4
2018/02,지방,대전,8214.6
2018/02,지방,울산,13234.6
2018/02,지방,세종,4157.1
2018/02,지방,강원,22145
2018/02,지방,충북,25988.6
2018/02,지방,충남,49890.9
2018/02,지방,전북,15033.8
2018/02,지방,전남,19936.7
2018/02,지방,경북,20526.7
2018/02,지방,경남,18483.2
2018/02,지방,제주,11755.6
2018/03,전국,전국,467021
2018/03,수도권,서울,41726
2018/03,수도권,인천,22870
2018/03,수도권,경기,153814
2018/03,지방,부산,25222
2018/03,지방,대구,27191
2018/03,지방,광주,9840
2018/03,지방,대전,9742
2018/03,지방,울산,16922
2018/03,지방,세종,5020
2018/03,지방,강원,44956
2018/03,지방,충북,16324
2018/03,지방,충남,18215
2018/03,지방,전북,12020
2018/03,지방,전남,18310
