행정구역별(시도),가구주의 성별,가구주의 연령별,계.2026,미혼.2026,유배우.2026,사별.2026,이혼.2026,계.2027,미혼.2027,유배우.2027,사별.2027,이혼.2027,계.2028,미혼.2028,유배우.2028,사별.2028,이혼.2028,계.2029,미혼.2029,유배우.2029,사별.2029,이혼.2029,계.2030,미혼.2030,유배우.2030,사별.2030,이혼.2030,계.2031,미혼.2031,유배우.2031,사별.2031,이혼.2031,계.2032,미혼.2032,유배우.2032,사별.2032,이혼.2032,계.2033,미혼.2033,유배우.2033,사별.2033,이혼.2033,계.2034,미혼.2034,유배우.2034,사별.2034,이혼.2034,계.2035,미혼.2035,유배우.2035,사별.2035,이혼.2035,계.2036,미혼.2036,유배우.2036,사별.2036,이혼.2036,계.2037,미혼.2037,유배우.2037,사별.2037,이혼.2037,계.2038,미혼.2038,유배우.2038,사별.2038,이혼.2038,계.2039,미혼.2039,유배우.2039,사별.2039,이혼.2039,계.2040,미혼.2040,유배우.2040,사별.2040,이혼.2040,계.2041,미혼.2041,유배우.2041,사별.2041,이혼.2041,계.2042,미혼.2042,유배우.2042,사별.2042,이혼.2042,계.2043,미혼.2043,유배우.2043,사별.2043,이혼.2043,계.2044,미혼.2044,유배우.2044,사별.2044,이혼.2044,계.2045,미혼.2045,유배우.2045,사별.2045,이혼.2045,계.2046,미혼.2046,유배우.2046,사별.2046,이혼.2046,계.2047,미혼.2047,유배우.2047,사별.2047,이혼.2047,계.2048,미혼.2048,유배우.2048,사별.2048,이혼.2048,계.2049,미혼.2049,유배우.2049,사별.2049,이혼.2049,계.2050,미혼.2050,유배우.2050,사별.2050,이혼.2050,계.2051,미혼.2051,유배우.2051,사별.2051,이혼.2051,계.2052,미혼.2052,유배우.2052,사별.2052,이혼.2052
전국,남자,35~39세,1091490,430647,634499,1018,25326,1087025,451237,609388,988,25412,1119994,484332,608433,1073,26156,1141732,513191,601293,1097,26151,1155280,535828,592234,1042,26176,1165411,555457,582959,952,26043,1146517,560263,560255,901,25098,1118537,559329,534613,676,23919,1086298,552760,510087,579,22872,1058332,548272,487976,458,21626,1023809,538737,464403,375,20294,973709,517103,437456,275,18875,918706,491615,409504,223,17364,871748,469819,385725,131,16073,812613,440252,357539,108,14714,759942,413645,332669,97,13531,738891,403490,322313,88,13000,736782,403931,319961,82,12808,725848,398365,314868,79,12536,724198,397028,314594,77,12499,735783,403561,319459,77,12686,739351,405420,321092,75,12764,731282,401124,317458,72,12628,725090,396601,315803,70,12616,722877,394702,315444,70,12661,706160,385483,308196,66,12415,679219,369870,297246,64,12039
전국,남자,40~44세,1251501,306611,889248,2403,53239,1182598,303459,826165,2140,50834,1119431,304375,765496,1938,47622,1088634,313699,727486,1769,45680,1083890,329534,707811,1768,44777,1080358,346217,688597,1739,43805,1105687,371705,688205,1717,44060,1138252,398994,692762,1835,44661,1159339,422983,690087,1856,44413,1172064,441860,684365,1780,44059,1181616,458347,678029,1660,43580,1162009,461877,656642,1582,41908,1133412,460066,632118,1286,39942,1100517,453677,607550,1151,38139,1072030,448747,586020,973,36290,1036784,439812,561831,846,34295,985640,422013,530847,699,32081,929837,401141,498321,611,29764,882374,383028,471083,473,27790,822369,357986,438384,418,25581,768620,334844,409755,380,23641,746865,325536,398199,359,22771,744209,324847,396558,347,22457,732483,319737,390470,335,21941,730329,318774,389432,331,21792,741727,324057,395314,330,22026,744984,325501,397101,327,22055
전국,남자,45~49세,1462172,286884,1072747,5904,96637,1455611,297299,1056079,5624,96609,1455330,309068,1043942,5371,96949,1428807,314504,1013664,5177,95462,1356437,312402,948558,4724,90753,1283557,309212,884394,4354,85597,1204128,306326,814563,3878,79361,1142933,308277,756993,3549,74114,1114477,318596,721755,3293,70833,1112560,335393,704680,3271,69216,1111987,353056,688194,3219,67518,1140858,379203,690812,3202,67641,1177498,407360,698481,3366,68291,1202518,432497,698689,3407,67925,1218674,452558,695453,3324,67339,1231313,470201,691296,3184,66632,1213306,474395,671612,3064,64235,1185441,472887,648447,2665,61442,1152708,466627,624790,2467,58824,1124138,461457,604198,2213,56270,1088402,452346,580577,2016,53463,1036110,434914,549185,1784,50227,978573,414037,516090,1623,46823,929207,395430,488468,1406,43903,866377,369470,455066,1281,40560,809788,345158,425825,1179,37626,786693,335095,414157,1133,36308
전국,남자,50~54세,1586202,253929,1175113,12290,144870,1528485,261279,1117157,11017,139032,1467811,263167,1061277,10356,133011,1417044,266972,1011836,9710,128526,1419703,279623,1002282,9434,128364,1440887,296694,1004988,9160,130045,1464855,314393,1009228,9090,132144,1467198,328209,998059,8818,132112,1442731,335269,969358,8552,129552,1372246,334056,907762,7902,122526,1301016,331350,847263,7336,115067,1223353,328680,781664,6634,106375,1164116,330988,727928,6122,99078,1138184,342346,695568,5754,94516,1139276,360727,680609,5700,92240,1141906,380088,666286,5609,89923,1174781,408621,670499,5610,90051,1215598,439429,679456,5844,90869,1244454,467064,681033,5904,90453,1263798,489252,679033,5819,89694,1279257,508924,675874,5662,88797,1262558,513880,657464,5477,85737,1235136,512523,635445,4982,82186,1202134,505940,612699,4713,78782,1173359,500464,592969,4371,75555,1136837,490643,570156,4079,71959,1082632,471873,539367,3730,67662
전국,남자,55~59세,1697057,204078,1279436,22773,190770,1711366,224926,1270018,22117,194305,1720172,247595,1255389,21353,195835,1687728,263757,1212669,19699,191603,1646671,275915,1166249,18438,186069,1576402,281603,1100320,16916,177563,1515572,284424,1044878,15576,170694,1460754,287602,994551,14725,163876,1415215,292808,949996,13902,158509,1422495,307620,942694,13615,158566,1448563,327321,947102,13391,160749,1477415,347666,953041,13383,163325,1484644,363596,944640,13127,163281,1464590,371899,919692,12812,160187,1397697,370965,863225,11955,151552,1329158,368293,807267,11159,142439,1253908,365761,746061,10188,131898,1197229,368801,695882,9454,123092,1174611,381895,666069,8952,117695,1179865,402850,652973,8855,115187,1186819,425031,640410,8721,112657,1225183,457517,645697,8765,113204,1272023,492650,655652,9079,114642,1306508,524255,658436,9184,114633,1330741,549723,657727,9130,114161,1350533,572138,655868,9002,113525,1335837,578064,638884,8770,110119
전국,남자,60~64세,1620640,118474,1273793,35850,192523,1596076,128626,1238744,33594,195112,1567918,140133,1200417,31328,196040,1627159,161720,1226576,31669,207194,1642848,181880,1218172,30804,211992,1673606,205652,1219869,30366,217719,1697956,231413,1215312,30052,221179,1713850,255035,1205748,29423,223644,1688403,272064,1168801,27701,219837,1653341,284762,1127885,26343,214351,1588340,290850,1067668,24558,205264,1531828,294092,1016911,22999,197826,1480935,297748,970691,21929,190567,1439370,303671,929894,20902,184903,1451188,319684,925157,20653,185694,1482204,340680,932070,20578,188876,1515799,362140,940486,20755,192418,1526924,378702,934817,20595,192810,1509289,387094,912457,20265,189473,1443453,386168,858554,19106,179625,1375675,383805,804586,17965,169319,1301051,381810,745195,16578,157468,1245476,385645,696638,15509,147684,1224976,399949,668230,14833,141964,1233266,422467,656440,14715,139644,1243508,446300,645268,14564,137376,1286611,481161,651887,14744,138819
전국,남자,65~69세,1496962,64691,1211481,51585,169205,1566463,72840,1259342,52158,182123,1607421,83876,1277656,51818,194071,1585942,91489,1247139,49286,198028,1566336,101567,1216318,47043,201408,1526256,110901,1169742,44094,201519,1524993,122369,1154363,42580,205681,1502746,133595,1122154,40306,206691,1563963,154438,1149866,41112,218547,1583296,173955,1145212,40458,223671,1617207,196966,1150054,40304,229883,1644502,221851,1148589,40237,233825,1663306,244566,1142212,39819,236709,1642318,261093,1110082,38050,233093,1610944,273336,1073308,36588,227712,1550330,279327,1018113,34482,218408,1497778,282718,971580,32654,210826,1450861,286607,929451,31308,203495,1413147,292830,892604,30019,197694,1427949,308885,890324,29849,198891,1461235,329712,898923,29998,202602,1496558,350855,908619,30422,206662,1508941,367005,904193,30389,207354,1492396,375076,883203,30029,204088,1428625,374372,831971,28479,193803,1363448,372539,780916,26891,183102,1291689,371307,724728,24959,170695
전국,남자,70~74세,1046753,25718,858723,57154,105158,1108797,29776,901631,58768,118622,1188494,35939,959092,60201,133262,1275263,42686,1020999,63090,148488,1340099,48849,1064657,64118,162475,1432320,57814,1128763,65969,179774,1466789,65486,1145782,65863,189658,1510578,75564,1166627,66285,202102,1495725,82574,1142936,64101,206114,1482432,91884,1118704,62001,209843,1449517,100560,1079557,58918,210482,1453145,111192,1069055,57722,215176,1436018,121609,1042215,55421,216773,1498756,140894,1071412,56985,229465,1521573,159024,1070413,56688,235448,1558374,180435,1078259,57001,242679,1589113,203696,1080517,57389,247511,1611648,225045,1078152,57357,251094,1595080,240728,1050763,55493,248096,1568437,252530,1018933,53889,243085,1512826,258583,969101,51280,233862,1464598,262203,927108,49020,226267,1421468,266289,888891,47216,219072,1386952,272548,855351,45492,213561,1403658,287960,854648,45427,215623,1438675,307856,864532,45932,220355,1476005,328130,875679,46785,225411
전국,남자,75~79세,702386,8649,590640,56828,46269,736233,9594,615865,58959,51815,764072,11135,634383,59737,58817,797398,13082,657177,60358,66781,872448,16781,712089,63063,80515,954843,20831,772005,67886,94121,1017887,25224,814558,70700,107405,1097129,30433,872114,73941,120641,1182765,36100,933619,78581,134465,1250039,41473,979875,81117,147574,1342708,49224,1044859,85045,163580,1380719,55824,1066125,86310,172460,1427991,64632,1091453,88082,183824,1419154,70587,1074726,86595,187246,1412386,78629,1057731,84917,191109,1387644,86429,1027063,81827,192325,1396260,95784,1022220,81270,196986,1385541,105398,1002055,79067,199021,1450540,122523,1034790,81987,211240,1477640,138810,1039084,82455,217291,1518306,158029,1051937,83750,224590,1552339,178659,1059069,85082,229529,1577597,197277,1061075,85912,233333,1565193,211230,1038550,84146,231267,1541594,221311,1010755,82489,227039,1489690,226587,964987,79183,218933,1445095,230153,926232,76338,212372
전국,남자,80~84세,437158,2552,363519,53294,17793,446852,2792,370755,53330,19975,470696,3175,389089,54654,23778,504404,3721,414856,57829,27998,539257,4320,441403,61353,32181,566137,4576,460892,64676,35993,596194,5436,482919,66611,41228,623478,6362,501745,68625,46746,654817,7548,523520,70757,52992,723073,9837,573554,75773,63909,793675,12191,624247,82840,74397,850483,14811,663103,87773,84796,920301,17907,713418,93760,95216,994547,21285,766141,101096,106025,1057719,24576,810119,106088,116936,1141014,29362,868462,113207,129983,1174238,33324,887222,116649,137043,1217577,38825,911862,120692,146198,1209914,42309,898564,120456,148585,1207783,47334,888656,119748,152045,1192761,52351,869433,117156,153821,1202823,58249,868682,117986,157906,1198637,64495,857283,116476,160383,1257781,75514,889561,121991,170715,1283590,85826,897406,124125,176233,1321112,98026,912900,127396,182790,1350325,111024,921502,130660,187139
