행정구역별(시도),가구주의 성별,가구주의 연령별,계.2026,미혼.2026,유배우.2026,사별.2026,이혼.2026,계.2027,미혼.2027,유배우.2027,사별.2027,이혼.2027,계.2028,미혼.2028,유배우.2028,사별.2028,이혼.2028,계.2029,미혼.2029,유배우.2029,사별.2029,이혼.2029,계.2030,미혼.2030,유배우.2030,사별.2030,이혼.2030,계.2031,미혼.2031,유배우.2031,사별.2031,이혼.2031,계.2032,미혼.2032,유배우.2032,사별.2032,이혼.2032,계.2033,미혼.2033,유배우.2033,사별.2033,이혼.2033,계.2034,미혼.2034,유배우.2034,사별.2034,이혼.2034,계.2035,미혼.2035,유배우.2035,사별.2035,이혼.2035,계.2036,미혼.2036,유배우.2036,사별.2036,이혼.2036,계.2037,미혼.2037,유배우.2037,사별.2037,이혼.2037,계.2038,미혼.2038,유배우.2038,사별.2038,이혼.2038,계.2039,미혼.2039,유배우.2039,사별.2039,이혼.2039,계.2040,미혼.2040,유배우.2040,사별.2040,이혼.2040,계.2041,미혼.2041,유배우.2041,사별.2041,이혼.2041,계.2042,미혼.2042,유배우.2042,사별.2042,이혼.2042,계.2043,미혼.2043,유배우.2043,사별.2043,이혼.2043,계.2044,미혼.2044,유배우.2044,사별.2044,이혼.2044,계.2045,미혼.2045,유배우.2045,사별.2045,이혼.2045,계.2046,미혼.2046,유배우.2046,사별.2046,이혼.2046,계.2047,미혼.2047,유배우.2047,사별.2047,이혼.2047,계.2048,미혼.2048,유배우.2048,사별.2048,이혼.2048,계.2049,미혼.2049,유배우.2049,사별.2049,이혼.2049,계.2050,미혼.2050,유배우.2050,사별.2050,이혼.2050,계.2051,미혼.2051,유배우.2051,사별.2051,이혼.2051,계.2052,미혼.2052,유배우.2052,사별.2052,이혼.2052
서울특별시,남자,40~44세,216701,71162,137769,295,7475,207758,71208,129097,266,7187,197797,71251,119512,228,6806,192543,73026,112802,190,6525,192206,75972,109728,177,6329,192268,79405,106569,189,6105,197699,84861,106576,181,6081,204394,90394,107652,189,6159,208678,94599,107733,187,6159,211688,97518,107764,176,6230,214304,99410,108379,146,6369,211039,97825,106694,135,6385,207199,94937,105657,108,6497,202262,90904,104605,113,6640,198481,86960,104576,105,6840,193492,82326,104063,109,6994,185256,76745,101403,114,6994,175440,71360,97155,113,6812,167392,66862,93752,104,6674,156823,61541,88805,94,6383,146800,57062,83613,88,6037,143079,55236,81814,87,5942,143093,54512,82479,89,6013,140810,53698,81027,89,5996,140284,53357,80802,90,6035,142628,53587,82754,89,6198,143419,53391,83611,90,6327
서울특별시,남자,45~49세,241229,62570,164427,731,13501,240197,65134,160622,678,13763,239064,67778,156929,657,13700,234703,68769,152031,645,13258,222661,68654,141004,595,12408,210692,67761,130723,529,11679,198153,67454,119670,449,10580,189046,67832,110979,389,9846,184519,69823,105058,337,9301,184755,72935,102522,319,8979,185332,76505,99885,325,8617,191206,81994,100339,317,8556,198266,87546,101761,328,8631,202990,91841,102203,325,8621,206526,94914,102592,317,8703,209483,96892,103430,283,8878,206462,95328,101969,272,8893,202755,92367,101101,244,9043,197789,88193,100109,255,9232,193852,83986,100095,256,9515,188622,79074,99543,267,9738,180344,73484,96858,271,9731,170577,68128,92693,271,9485,162469,63588,89331,258,9292,151818,58248,84439,245,8886,141844,53779,79421,232,8412,138159,51910,77722,232,8295
서울특별시,남자,50~54세,259843,53866,184183,1634,20160,247853,54867,172685,1413,18888,235358,54586,161441,1343,17988,225746,55715,151366,1188,17477,224627,58182,147858,1126,17461,227368,62179,146586,1058,17545,230116,65375,145783,1066,17892,229707,68443,142574,1038,17652,225905,69766,138109,1015,17015,214541,69845,128002,933,15761,203219,69073,118662,839,14645,191403,68860,108631,723,13189,182873,69292,100808,635,12138,178960,71428,95592,568,11372,179702,74733,93486,541,10942,180836,78526,91287,540,10483,187363,84386,92031,533,10413,194934,90304,93583,551,10496,200140,94897,94204,548,10491,204109,98224,94753,543,10589,207279,100335,95627,517,10800,204258,98640,94295,504,10819,200400,95433,93477,483,11007,195066,90890,92450,503,11223,190707,86291,92333,515,11568,184950,80925,91650,541,11834,176189,74917,88928,553,11791
서울특별시,남자,55~59세,271083,42171,197776,3247,27889,271845,46401,194521,3094,27829,272107,50601,191006,2860,27640,265416,53460,182889,2610,26457,256550,55433,173549,2389,25179,242692,55275,161611,2229,23577,231136,55455,151750,1897,22034,220719,55486,142474,1799,20960,212799,56904,134056,1623,20216,212791,59699,131419,1561,20112,216442,64077,130705,1498,20162,219775,67546,130308,1501,20420,220109,70811,127758,1468,20072,216933,72216,123962,1433,19322,206305,72255,114920,1320,17810,195609,71418,106549,1192,16450,184414,71140,97475,1040,14759,176413,71556,90421,923,13513,173052,73809,85791,832,12620,174315,77322,84049,799,12145,176009,81362,82217,790,11640,183240,87690,83165,784,11601,191423,94050,84838,811,11724,197194,98995,85632,812,11755,201690,102595,86377,816,11902,205119,104812,87335,798,12174,202065,102915,86152,795,12203
서울특별시,남자,60~64세,250256,23587,192137,5099,29433,242142,25156,183123,4673,29190,235654,27041,175826,4276,28511,242364,30957,177682,4246,29479,244441,34698,176083,4084,29576,249832,40081,175838,3837,30076,254146,45102,174919,3913,30212,255643,49301,172508,3703,30131,250613,52240,165890,3447,29036,243547,54321,158202,3220,27804,231516,54311,148005,3025,26175,221623,54675,139621,2678,24649,212546,54859,131622,2554,23511,205758,56433,124292,2350,22683,206565,59390,122266,2285,22624,210887,63909,121993,2233,22752,214682,67452,121926,2247,23057,215540,70749,119854,2213,22724,212765,72159,116502,2168,21936,202541,72191,108101,2005,20244,192270,71426,100311,1825,18708,181403,71176,91779,1610,16838,173702,71655,85158,1444,15445,170730,74061,80874,1319,14476,172336,77703,79361,1273,13999,174413,81909,77764,1251,13489,182134,88501,78848,1254,13531
서울특별시,남자,65~69세,237572,13154,189571,7424,27423,242084,14598,191536,7293,28657,244210,16984,190090,7235,29901,238366,18245,183277,6726,30118,233182,20173,176300,6377,30332,225634,21558,168349,6039,29688,223439,23283,164644,5671,29841,218682,25164,158949,5285,29284,226272,28939,161587,5325,30421,229136,32534,160784,5198,30620,235058,37681,161176,5000,31201,239849,42470,160865,5097,31417,242064,46518,159216,4919,31411,238201,49422,153721,4661,30397,232328,51515,147170,4417,29226,221657,51645,138212,4181,27619,212937,52134,130855,3810,26138,204884,52463,123770,3649,25002,198945,54134,117265,3408,24138,200296,57124,115712,3343,24117,205023,61637,115766,3311,24309,209168,65190,115981,3341,24656,210390,68500,114233,3307,24350,207973,69970,111181,3247,23575,198250,70140,103301,3011,21798,188497,69558,95999,2756,20184,178050,69447,87948,2449,18206
서울특별시,남자,70~74세,177819,5460,144800,8854,18705,185419,6347,149183,8999,20890,194822,7525,155395,8970,22932,205049,8839,161915,9309,24986,210551,9928,165230,9214,26179,219949,11563,170978,9235,28173,222058,13047,170593,9095,29323,225716,15267,170616,9122,30711,221757,16480,165605,8672,31000,218309,18321,160342,8335,31311,212513,19683,154010,7979,30841,211684,21359,151515,7667,31143,208062,23182,146877,7275,30728,216217,26757,149999,7417,32044,219724,30181,149790,7334,32419,226132,35074,150701,7202,33155,231580,39678,151016,7351,33535,234615,43620,150118,7217,33660,231723,46524,145504,6932,32763,226888,48677,139883,6660,31668,217296,48986,131884,6343,30083,209491,49613,125318,5918,28642,202257,50104,118951,5684,27518,197019,51894,113081,5372,26672,198890,54935,111887,5305,26763,204084,59458,112232,5302,27092,208783,63100,112757,5361,27565
서울특별시,남자,75~79세,124804,1810,104919,9199,8876,128629,1981,107639,9320,9689,132345,2217,109946,9413,10769,137008,2682,112995,9418,11913,148040,3444,120305,9742,14549,160018,4351,128377,10457,16833,168251,5328,133219,10816,18888,178485,6328,140268,11068,20821,189477,7462,147579,11664,22772,196383,8431,152070,11785,24097,206947,9886,158847,12120,26094,210453,11220,159820,12183,27230,215467,13223,161241,12379,28624,213023,14315,157721,12040,28947,210969,15955,153913,11738,29363,206635,17212,148963,11359,29101,206858,18746,147456,11141,29515,204338,20537,143783,10732,29286,213162,23820,147584,11064,30694,217506,27034,148179,11074,31219,224620,31572,149898,11082,32068,230715,35806,151001,11333,32575,234341,39432,150813,11291,32805,232131,42138,146906,10976,32111,227794,44098,141868,10661,31167,218833,44504,134383,10213,29733,211600,45222,128204,9711,28463
서울특별시,남자,80~84세,82036,570,68409,9214,3843,84332,620,69928,9460,4324,88009,737,72546,9627,5099,92934,854,76173,10034,5873,98192,962,80277,10481,6472,101621,978,82667,10844,7132,104866,1190,84971,10890,7815,109070,1349,87830,11173,8718,113902,1662,91111,11443,9686,124517,2163,98393,12136,11825,135317,2741,105704,13218,13654,143181,3372,110612,13888,15309,152908,4023,117370,14601,16914,163096,4766,124174,15639,18517,170432,5424,129099,16131,19778,180721,6419,135771,16984,21547,184271,7336,137017,17385,22533,189528,8723,139116,17903,23786,187708,9447,136449,17751,24061,186574,10577,133956,17543,24498,183657,11484,130581,17157,24435,184363,12588,129764,17129,24882,182968,13947,127419,16732,24870,191508,16307,131544,17444,26213,195851,18615,132763,17644,26829,202375,21872,134910,17919,27674,207627,24875,136178,18354,28220
서울특별시,남자,85세이상,51585,159,39056,11175,1195,56986,189,43016,12370,1411,63285,230,47721,13629,1705,66867,265,50036,14564,2002,70779,312,52571,15527,2369,72779,356,53746,16123,2554,79446,375,58573,17426,3072,85313,455,62674,18559,3625,90163,537,65863,19616,4147,95547,602,69562,20754,4629,98157,623,71061,21469,5004,104380,760,75279,22698,5643,110612,881,79307,24002,6422,116501,1089,82961,25241,7210,127259,1414,89932,27200,8713,135819,1741,95155,29035,9888,144846,2160,100532,31045,11109,155278,2567,107067,33278,12366,165609,3089,113183,35728,13609,177422,3610,120241,38469,15102,189655,4335,127206,41436,16678,196704,5055,130094,43864,17691,206257,6056,134583,46668,18950,210055,6717,135197,48656,19485,215850,7617,136974,50888,20371,220527,8492,138081,52950,21004,224220,9502,138295,54782,21641
